Assignment,BIEN_Number,Family,Latin,TotalObsInBIEN,nameSubmitted,nameMatched,nameMatchedScore,nameMatchedAuthor,nameMatchedUrl,,,acceptance,genusMatched,genusMatchedScore,speciesMatched,Recent Name,Old name,Invasive,Non-native,NotRare(largeRangeOrHighAbundance),RecognizedAsRare,Unresolved,Comments
d,49581,Orchidaceae,Lepanthes psomion,1,Orchidaceae Lepanthes psomion,Lepanthes psomion,1,Luer & Hirtz,http://www.tropicos.org/Name/23521730 ,,,Accepted,Lepanthes,1,psomion,,,,,,Y,,
d,53739,Orchidaceae,Malaxis lobulata,3,Orchidaceae Malaxis lobulata,Malaxis lobulata,1,L.O. Williams,http://www.tropicos.org/Name/23509457 ,,,Accepted,Malaxis,1,lobulata,,,,,,Y,,
d,55633,Orchidaceae,Maxillaria planicola,2,Orchidaceae Maxillaria planicola,Maxillaria planicola,1,C. Schweinf.,http://www.tropicos.org/Name/23503655 ,,,Accepted,Maxillaria,1,planicola,,,,,,Y,,
d,62932,Orchidaceae,Oestlundorchis velutina,1,Orchidaceae Oestlundorchis velutina,Oestlundorchis velutina,1,Szlach.,http://www.tropicos.org/Name/50051605 ,,,Accepted,Oestlundorchis,1,velutina,,,,,,Y,,
d,64793,Orchidaceae,Pachyphyllum micrangis,2,Orchidaceae Pachyphyllum micrangis,Pachyphyllum micrangis,1,Schltr.,http://www.tropicos.org/Name/23509942 ,,,Accepted,Pachyphyllum,1,micrangis,,,,,,Y,,
d,73316,Orchidaceae,Pleurothallis conochila,1,Orchidaceae Pleurothallis conochila,Pleurothallis conochila,1,Luer,http://www.tropicos.org/Name/50072986 ,,,Accepted,Pleurothallis,1,conochila,,,,,,Y,,
d,73685,Orchidaceae,Pleurothallis yauaperyensis,1,Orchidaceae Pleurothallis yauaperyensis,Pleurothallis yauaperyensis,1,Barb. Rodr.,http://www.tropicos.org/Name/23509382 ,,,Accepted,Pleurothallis,1,yauaperyensis,,,,,,Y,,
d,94844,Orchidaceae,Trichosalpinx yanganensis,1,Orchidaceae Trichosalpinx yanganensis,Trichosalpinx yanganensis,1,(Luer) Luer,http://www.tropicos.org/Name/23510767 ,,,Accepted,Trichosalpinx,1,yanganensis,,,,,,Y,,
d,68391,Piperaceae,Peperomia portoricensis,1,Piperaceae Peperomia portoricensis,Peperomia portoricensis,1,Urb.,http://www.tropicos.org/Name/50050340 ,,,No opinion,Peperomia,1,portoricensis,,,,,,Y,,
d,71290,Piperaceae,Piper abutiloides,3,Piperaceae Piper abutiloides,Piper abutiloides,1,Kunth,http://www.tropicos.org/Name/25000423 ,,,Accepted,Piper,1,abutiloides,,,,,,Y,,
d,71312,Piperaceae,Piper alwynii,1,Piperaceae Piper alwynii,Piper alwynii,1,Callejas & Betancur,http://www.tropicos.org/Name/50090268 ,,,No opinion,Piper,1,alwynii,,,,,,Y,,
d,71652,Piperaceae,Piper longipilosum,2,Piperaceae Piper longipilosum,Piper longipilosum,1,C. DC.,http://www.tropicos.org/Name/25004454 ,,,No opinion,Piper,1,longipilosum,,,,,,Y,,
d,71769,Piperaceae,Piper pendulirameum,2,Piperaceae Piper pendulirameum,Piper pendulirameum,1,Trel. & Yunck.,http://www.tropicos.org/Name/25004385 ,,,Accepted,Piper,1,pendulirameum,,,,,,Y,,
d,71799,Piperaceae,Piper planadosense,1,Piperaceae Piper planadosense,Piper planadosense,1,Trel. & Standl.,http://www.tropicos.org/Name/25002772 ,,,Accepted,Piper,1,planadosense,,,,,,Y,,
d,71887,Piperaceae,Piper schottii,3,Piperaceae Piper schottii,Piper schottii,1,(Miq.) C. DC.,http://www.tropicos.org/Name/50173585 ,,,Accepted,Piper,1,schottii,,,,,,Y,,
d,72646,Plagiochilaceae,Plagiochila appalachiana,3,Plagiochilaceae Plagiochila appalachiana,Plagiochila appalachiana,1,Inoue,http://www.tropicos.org/Name/35185709 ,,,Accepted,Plagiochila,1,appalachiana,,,,,,Y,,
d,6106,Poaceae,Apochloa cipoense,3,Poaceae Apochloa cipoense,Apochloa cipoense,1,(Renvoize & Send.) Zuloaga & Morrone,http://www.tropicos.org/Name/50327889 ,,,Accepted,Apochloa,1,cipoense,,,,,,Y,,
d,6884,Poaceae,Aristida filifolia,2,Poaceae Aristida filifolia,Aristida filifolia,1,(Arechav.) Herter,http://www.tropicos.org/Name/25507416 ,,,Accepted,Aristida,1,filifolia,,,,,,Y,,
d,11996,Poaceae,Bothriochloa parvispicula,2,Poaceae Bothriochloa parvispicula,Bothriochloa parvispicula,1,Allred,http://www.tropicos.org/Name/25520913 ,,,No opinion,Bothriochloa,1,parvispicula,,,,,,Y,,
d,36516,Poaceae,Eustachys glauca,3,Poaceae Eustachys glauca,Eustachys glauca,1,Chapm.,http://www.tropicos.org/Name/25512037 ,,,Accepted,Eustachys,1,glauca,,,,,,Y,,
d,61564,Poaceae,Neostapfia colusana,1,Poaceae Neostapfia colusana,Neostapfia colusana,1,(Burtt Davy) Burtt Davy,http://www.tropicos.org/Name/25509770 ,,,Accepted,Neostapfia,1,colusana,,,,,,Y,,
d,66131,Poaceae,Paspalum cachimboense,1,Poaceae Paspalum cachimboense,Paspalum cachimboense,1,"Davidse, Morrone & Zuloaga",http://www.tropicos.org/Name/50205938 ,,,Accepted,Paspalum,1,cachimboense,,,,,,Y,,
d,78508,Poaceae,Raddiella malmeana,2,Poaceae Raddiella malmeana,Raddiella malmeana,1,(Ekman) Swallen,http://www.tropicos.org/Name/25528748 ,,,Accepted,Raddiella,1,malmeana,,,,,,Y,,
d,42846,Pottiaceae,Hennediella austrogeorgica,3,Pottiaceae Hennediella austrogeorgica,Hennediella austrogeorgica,1,(Cardot) Blockeel,http://www.tropicos.org/Name/35184446 ,,,Accepted,Hennediella,1,austrogeorgica,,,,,,Y,,
